Address,AddrCoor,Latitude,Longitude,WeapType,Date,Month
1500 block Troy Drive,"1500 Troy Dr, Madison, Wisconsin, 53704",43.13444460782504,-89.37080289901388,gun,2008-07-06T04:02:00.000Z,Jul
3000 block Worthington Ave.,"3000 Worthington Ave, Madison, Wisconsin, 53714",43.10265523733956,-89.33988136883299,knife,2008-06-30T23:26:00.000Z,Jun
452 State St (Peace Park),"452 State St, Madison, Wisconsin, 53703",43.07483149711446,-89.39266761697165,,2008-07-16T00:00:00.000Z,Jul
319 W. Gorham,"319 W Gorham St, Madison, Wisconsin, 53703",43.0744096846905,-89.39221343738835,,2008-07-20T01:57:00.000Z,Jul
400 block State Street,"400 State St, Madison, Wisconsin, 53703",43.07487121448732,-89.3918081458836,gun,2008-07-20T02:39:00.000Z,Jul
293 N. Thompson Road,"293 N Thompson Dr, Madison, Wisconsin, 53714",43.10269851903903,-89.29868783196615,gun,2008-08-02T03:27:00.000Z,Aug
1100 Block Catalpa Circle,"1100 Catalpa Cir, Madison, Wisconsin, 53713",43.041857659756175,-89.40190761815535,knife,2008-08-02T23:10:00.000Z,Aug
2700 block of Atwood Avenue,"2700 Atwood Ave, Madison, Wisconsin, 53704",43.09398106648963,-89.34470365212398,gun,2008-08-01T23:37:00.000Z,Aug
1900 block Beld Street,"1900 Beld St, Madison, Wisconsin, 53713",43.045701157429434,-89.3931759972447,gun,2008-08-05T07:02:00.000Z,Aug
Wagon Trail & South Thompson Drive,"Wagon Trl & S Thompson Dr, Madison, Wisconsin, 53716",43.066836,-89.2829385,gun,2008-08-12T20:00:00.000Z,Aug
1965 Atwood Avenue Chase Bank ATM machine,Chase,43.09196992613571,-89.35546008107767,gun,2008-09-01T05:54:00.000Z,Sep
3200 block Snowy Parkway,"3200 Snowy Pkwy, Madison, Wisconsin, 53719",43.015772441038884,-89.51516074042256,gun,2008-09-01T17:43:00.000Z,Sep
2100 block Allied Drive,"2100 Allied Dr, Madison, Wisconsin, 53711",43.03137136844597,-89.4591059469433,knife,2008-09-24T02:12:00.000Z,Sep
500 block State St.,"500 State St, Madison, Wisconsin, 53703",43.074889617706994,-89.39345922318947,knife,2008-10-07T00:40:00.000Z,Oct
417 State St,"417 State St, Madison, Wisconsin, 53703",43.0747685323159,-89.3924687514571,,2008-10-10T22:05:00.000Z,Oct
3019 E. Washington Ave.,"3019 E Washington Ave, Madison, Wisconsin, 53704",43.103972809856494,-89.34223648470791,knife,2008-10-11T23:26:00.000Z,Oct
4300 Doncaster Dr,"4300 Doncaster Dr, Madison, Wisconsin, 53711",43.03618838806685,-89.44868888806683,knife,2008-10-12T03:00:00.000Z,Oct
Baird Street @ Center Street,"Baird St & Center St, Madison, Wisconsin, 53713",43.044381,-89.39065049999998,gun,2008-10-13T04:26:00.000Z,Oct
Sunnymeade Ln/N. Rusk Av,"Sunnymeade Ln & N Rusk Ave, Madison, Wisconsin, 53713",43.04199600000001,-89.38418850000001,gun,2008-10-22T18:15:00.000Z,Oct
1000 Block Moorland Rd,"1000 Moorland Rd, Madison, Wisconsin, 53713",43.03460912955396,-89.36882334601441,gun,2008-10-29T15:36:00.000Z,Oct
7000 block Watts Road,"7000 Watts Rd, Madison, Wisconsin, 53719",43.050238227412436,-89.50328656819958,gun,2008-11-02T21:57:00.000Z,Nov
East Towne Mall,East Towne Mall,43.12544000000002,-89.30646999999998,gun,2008-11-03T13:52:00.000Z,Nov
602 University Avenue (outside of Wando's bar),Wando's,43.073140069969256,-89.39598997446474,knife,2008-11-07T17:16:00.000Z,Nov
119 W. Main Street (Paradise Lounge),Paradise Lounge,43.07253995224781,-89.3848299849963,knife,2008-11-07T22:04:00.000Z,Nov
N. Mills Street,"N Mills St, Madison, Wisconsin, 53715",43.07270393139882,-89.4040869240723,gun,2008-11-10T03:38:00.000Z,Nov
2700 block of Shopko Dr,"2700 Shopko Dr, Madison, Wisconsin, 53704",43.111107788045594,-89.34682735723537,gun,2008-11-14T00:00:00.000Z,Nov
2200 Allied Drive,"2200 Allied Dr, Madison, Wisconsin, 53711",43.029927162562245,-89.45932888813215,gun,2008-11-26T22:14:00.000Z,Nov
Fisher Street near Penn Park,Penn Park,43.042379956142966,-89.39184998600689,gun,2008-11-29T10:43:00.000Z,Nov
5600 block Elder Place,"5600 Elder Pl, Madison, Wisconsin, 53705",43.07127744445657,-89.47867249001669,gun,2008-11-28T21:47:00.000Z,Nov
West Johnson Street (outside of the Nitty Gritty),"W Johnson St, Madison, Wisconsin, 53715",43.072055505612695,-89.39825551075594,gun,2008-11-28T22:20:00.000Z,Nov
500 block East Mifflin Street,"500 E Mifflin St, Madison, Wisconsin, 53703",43.07883892665861,-89.38070439624002,,2008-12-04T19:06:00.000Z,Dec
100 Blk of Kennedy Heights,"100 Kennedy Hts, Madison, Wisconsin, 53704",43.14020634498114,-89.38620917195293,gun,2008-12-06T02:52:00.000Z,Dec
5800 block Balsam Road,"5800 Balsam Rd, Madison, Wisconsin, 53711",43.03091501625707,-89.47982823664154,gun,2008-12-10T15:18:00.000Z,Dec
55 S. Gammon Road,"55 S Gammon Rd, Madison, Wisconsin, 53717",43.066376298084144,-89.50248094344788,gun,2008-12-12T23:13:00.000Z,Dec
300 block Engelhart Drive,"300 Engelhart Dr, Madison, Wisconsin, 53713",43.02769693872156,-89.38178861113886,gun,2008-12-12T13:31:00.000Z,Dec
200 block North Frances Street,"200 N Frances St, Madison, Wisconsin, 53703",43.07090952434309,-89.39595701979819,gun,2008-12-16T01:45:00.000Z,Dec
Merryturn Road near St. Albans Ave.,"Merryturn Rd, Madison, Wisconsin, 53714",43.091938777558816,-89.29105376241833,gun,2008-12-29T14:08:00.000Z,Dec
Yellowstone Drive near John Muir Elementary School,John Muir Elementary School,43.067550020629604,-89.49451993060764,gun,2008-01-09T10:00:00.000Z,Jan
